DATE;TRIES;SECONDS
2022-09-22 10:08:45;2;6
2022-09-22 10:08:46;4;16
2022-09-22 10:08:52;2;6
2022-09-22 10:08:52;2;6
2022-09-22 10:08:58;2;6
2022-09-22 10:09:02;4;16
2022-09-22 10:09:08;2;6
2022-09-22 10:09:15;4;16
2022-09-22 10:09:23;4;16
2022-09-22 10:09:28;2;6
2022-09-22 10:09:31;2;6
2022-09-22 10:09:46;3;15
2022-09-22 10:09:52;2;6
2022-09-22 10:09:52;3;11
2022-09-22 10:09:57;6;26
2022-09-22 10:10:03;2;6
2022-09-22 10:10:09;2;6
2022-09-22 10:10:19;5;21
2022-09-22 10:10:26;2;6
2022-09-22 10:10:26;2;6
2022-09-22 10:10:32;2;6
2022-09-22 10:10:32;2;6
2022-09-22 10:10:39;2;6
2022-09-22 10:11:06;2;10
2022-09-22 10:11:19;2;6
2022-09-22 10:12:31;2;6
2022-09-22 10:13:11;2;7
2022-09-22 10:13:30;2;6
2022-09-22 10:14:20;2;10
2022-09-22 10:14:42;2;10
2022-09-22 10:15:19;2;7
2022-09-22 10:15:29;2;8
2022-09-22 10:15:36;2;7
2022-09-22 10:15:49;3;12
2022-09-22 10:15:56;3;11
2022-09-22 10:16:20;5;21
2022-09-22 10:16:26;2;6
2022-09-22 10:16:45;6;26
2022-09-22 10:16:53;2;5
2022-09-22 10:16:55;4;16
2022-09-22 10:17:09;4;16
2022-09-22 10:17:11;3;11
2022-09-22 10:17:35;5;21
2022-09-22 10:17:41;3;11
2022-09-22 10:17:47;2;6
2022-09-22 10:17:51;4;16
2022-09-22 10:17:54;2;6
2022-09-22 10:17:59;2;6
2022-09-22 10:18:08;2;6
2022-09-22 10:18:13;3;11
2022-09-22 10:18:15;2;6
2022-09-22 10:18:28;3;11
2022-09-22 10:18:37;2;6
2022-09-22 10:18:48;2;6
2022-09-22 10:19:08;2;6
2022-09-22 10:19:10;4;16
2022-09-22 10:19:24;2;6
2022-09-22 10:19:25;4;16
2022-09-22 10:19:36;3;11
2022-09-22 10:19:46;5;21
2022-09-22 10:19:48;3;11
2022-09-22 10:20:02;6;26
2022-09-22 10:20:32;10;45
2022-09-22 10:20:37;2;5
2022-09-22 10:20:38;2;6
2022-09-22 10:20:43;2;6
2022-09-22 10:20:56;4;16
2022-09-22 10:21:21;3;10
2022-09-22 10:21:27;2;6
2022-09-22 10:21:37;6;26
2022-09-22 10:21:44;2;6
2022-09-22 10:21:47;4;16
2022-09-22 10:21:50;2;6
2022-09-22 10:22:19;3;10
2022-09-22 10:22:39;2;5
2022-09-22 10:22:45;2;6
2022-09-22 10:23:05;3;11
2022-09-22 10:23:16;3;11
2022-09-22 10:23:24;2;6
2022-09-22 10:23:28;4;15
2022-09-22 10:23:33;3;10
2022-09-22 10:23:39;2;6
2022-09-22 10:23:46;2;6
2022-09-22 10:23:48;3;10
2022-09-22 10:23:57;2;6
2022-09-22 10:23:57;2;7
2022-09-22 10:24:50;5;21
2022-09-22 10:24:58;2;6
2022-09-22 10:24:58;2;6
2022-09-22 10:25:07;3;10
2022-09-22 10:25:09;3;11
2022-09-22 10:25:25;4;16
2022-09-22 10:25:36;3;11
2022-09-22 10:25:44;2;6
2022-09-22 10:25:46;3;11
2022-09-22 10:25:52;2;6
2022-09-22 10:25:59;2;5
2022-09-22 10:26:12;6;26
2022-09-22 10:26:25;6;26
2022-09-22 10:26:32;3;11
2022-09-22 10:26:39;6;26
2022-09-22 10:26:57;5;20
2022-09-22 10:27:06;4;16
2022-09-22 10:27:17;3;10
2022-09-22 10:27:26;2;6
2022-09-22 10:27:51;9;41
2022-09-22 10:27:51;2;5
2022-09-22 10:27:57;2;6
2022-09-22 10:27:58;7;31
2022-09-22 10:27:59;2;6
2022-09-22 10:28:05;2;6
2022-09-22 10:28:06;2;6
2022-09-22 10:28:11;2;6
2022-09-22 10:28:12;2;5
2022-09-22 10:28:18;3;12
2022-09-22 10:28:36;3;11
2022-09-22 10:28:39;2;6
2022-09-22 10:28:55;4;16
2022-09-22 10:29:00;10;46
2022-09-22 10:29:11;3;10
2022-09-22 10:29:18;2;7
2022-09-22 10:29:25;2;7
2022-09-22 10:29:28;3;11
2022-09-22 10:29:34;2;6
2022-09-22 10:29:52;2;6
2022-09-22 10:31:17;2;6
2022-09-22 10:33:37;4;16
2022-09-22 10:33:49;3;11
2022-09-22 10:35:28;3;10
2022-09-22 10:35:53;3;11
2022-09-22 10:36:15;3;11
2022-09-22 10:36:20;3;11
2022-09-22 10:36:27;2;6
2022-09-22 10:36:28;2;6
2022-09-22 10:36:43;4;16
2022-09-22 10:36:47;3;11
2022-09-22 10:37:32;3;11
2022-09-22 10:37:51;4;16
2022-09-22 10:37:56;2;6
2022-09-22 10:38:07;3;11
2022-09-22 10:38:24;3;11
2022-09-22 10:38:42;4;16
2022-09-22 10:38:51;4;16
2022-09-22 10:38:59;2;6
2022-09-22 10:39:11;2;6
2022-09-22 10:39:19;2;6
2022-09-22 10:39:43;5;21
2022-09-22 10:39:55;3;11
2022-09-22 10:40:14;3;11
2022-09-22 10:40:20;2;6
2022-09-22 10:40:23;5;21
2022-09-22 10:40:23;2;5
2022-09-22 10:40:28;2;6
2022-09-22 10:40:30;2;6
2022-09-22 10:40:38;2;6
2022-09-22 10:40:41;3;11
2022-09-22 10:40:52;3;11
2022-09-22 10:41:02;3;11
2022-09-22 10:41:07;2;6
2022-09-22 10:41:16;2;6
2022-09-22 10:41:22;2;5
2022-09-22 10:41:34;3;12
2022-09-22 10:41:42;2;6
2022-09-22 10:41:46;2;6
2022-09-22 10:41:52;2;6
2022-09-22 10:42:16;3;11
2022-09-22 10:42:19;6;26
2022-09-22 10:42:25;2;6
2022-09-22 10:42:32;3;11
2022-09-22 10:42:54;5;21
2022-09-22 10:43:06;2;6
2022-09-22 10:43:12;2;6
2022-09-22 10:43:16;2;5
2022-09-22 10:43:42;6;26
2022-09-22 10:43:50;2;6
2022-09-22 10:45:03;4;16
